Date,Expiry Date,Type,Underlying Price,Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
2025-08-06,2025-08-22,PUT,308.72,250.0,2.83,2.84,2.95,3.05,370,1582,50.73%,-0.08,0.0023,-0.12,0.07
2025-08-06,2025-08-22,PUT,308.72,255.0,1.06,1.09,1.01,1.03,59,1355,58.02%,-0.06,0.0031,-0.13,0.08
2025-08-06,2025-08-22,PUT,308.72,260.0,1.19,1.2,1.23,1.25,385,1645,55.71%,-0.07,0.0037,-0.15,0.09
2025-08-06,2025-08-22,PUT,308.72,265.0,1.43,1.47,1.5,1.52,497,1004,53.40%,-0.09,0.0045,-0.16,0.11
2025-08-06,2025-08-22,PUT,308.72,270.0,1.85,1.85,1.88,1.91,422,1443,51.62%,-0.11,0.0055,-0.18,0.12
2025-08-06,2025-08-22,PUT,308.72,275.0,2.34,2.35,2.38,2.4,658,1152,49.39%,-0.14,0.0066,-0.21,0.14
2025-08-06,2025-08-22,PUT,308.72,280.0,2.88,3.0,3.05,3.1,522,2527,48.50%,-0.17,0.0079,-0.23,0.17
2025-08-06,2025-08-22,PUT,308.72,282.5,3.38,3.4,3.45,3.5,85,64,47.91%,-0.19,0.0084,-0.25,0.18
2025-08-06,2025-08-22,PUT,308.72,285.0,3.85,3.85,3.9,3.95,238,1634,47.55%,-0.21,0.0093,-0.26,0.19
2025-08-06,2025-08-22,PUT,308.72,287.5,4.35,4.4,4.43,4.45,48,88,46.50%,-0.23,0.01,-0.27,0.2
2025-08-06,2025-08-22,PUT,308.72,290.0,5.0,5.0,5.03,5.05,386,1900,46.13%,-0.26,0.0108,-0.28,0.21
2025-08-06,2025-08-22,PUT,308.72,292.5,5.5,5.65,5.7,5.75,152,75,45.72%,-0.29,0.0113,-0.29,0.22
2025-08-06,2025-08-22,PUT,308.72,295.0,6.45,6.4,6.43,6.45,273,909,45.22%,-0.32,0.0119,-0.3,0.23
2025-08-06,2025-08-22,PUT,308.72,297.5,7.2,7.2,7.23,7.25,259,84,44.76%,-0.35,0.0125,-0.31,0.24
2025-08-06,2025-08-22,PUT,308.72,300.0,8.02,7.9,8.03,8.15,1171,1370,43.96%,-0.38,0.0131,-0.31,0.25
2025-08-06,2025-08-22,PUT,308.72,302.5,8.8,8.95,9.05,9.15,229,130,43.77%,-0.41,0.0135,-0.32,0.26
2025-08-06,2025-08-22,PUT,308.72,305.0,10.12,10.15,10.18,10.2,1594,1396,43.83%,-0.45,0.0137,-0.32,0.26
2025-08-06,2025-08-22,PUT,308.72,307.5,11.25,11.3,11.35,11.4,1002,269,43.35%,-0.48,0.0139,-0.32,0.26
